category,production,type,title,distributor,producer,year
Outstanding Character Voice-Over Performance - 2021,,Nominee,black-ish: Election Special (Part 2),ABC,ABC,2021
Outstanding Character Voice-Over Performance - 2021,,Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Character Voice-Over Performance - 2021,,Nominee,Family Guy,FOX,20th Television Animation,2021
Outstanding Character Voice-Over Performance - 2021,,Nominee,Archer,FX Networks,FX Productions,2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Elisabeth Williams, Production Designer",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Martha Sparrow, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Larry Spittle, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Rob Hepburn, Set Decorator",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Lester Cohen, Production Designer",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Doug Huszti, Art Director",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Keri Lederman, Set Decorator",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Cary White, Production Designer",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Yvonne Boudreaux, Art Director",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,"Carla Curry, Set Decorator",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Will Hughes-Jones, Production Designer",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Dominic Devine, Art Director",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Gina Cromwell, Set Decorator",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Martin Childs, Production Designer",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Mark Raggett, Art Director",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Alison Harvey, Set Decorator",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Mark Ricker, Production Designer",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Nithya Shrinivasan, Art Director",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Cherish M. Hale, Set Decorator",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Andrew L. Jones, Production Designer",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Doug Chiang, Production Designer",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"David Lazan, Art Director",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Amanda Serino, Set Decorator",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"John Goldsmith, Production Designer",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Chris Farmer, Art Director",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,"Halina Siwolop, Set Decorator",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Anne Seibel, Production Designer",Nominee,Emily In Paris,Netflix,"MTV Entertainment Studios, Darren Star Productions, and Jax Media for Netflix",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Jean-Yves Rabier, Art Director",Nominee,Emily In Paris,Netflix,"MTV Entertainment Studios, Darren Star Productions, and Jax Media for Netflix",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Christelle Maisonneuve, Set Decorator",Nominee,Emily In Paris,Netflix,"MTV Entertainment Studios, Darren Star Productions, and Jax Media for Netflix",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Jon Carlos, Production Designer",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"James Bolenbaugh, Art Director",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Ellen Reede Dorros, Set Decorator",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Paul Cripps, Production Designer",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Iain White, Art Director",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"John Shaffner, Production Designer",Nominee,United States Of Al,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Daren Janes, Art Director",Nominee,United States Of Al,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,"Susan Eschelbach, Set Decorator",Nominee,United States Of Al,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Eric Morrell, Production Designer",Nominee,Last Week Tonight With John Oliver,HBO,HBO in association with Sixteen String Jack Productions and Avalon Television,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Veronica Spink, Art Director",Nominee,Last Week Tonight With John Oliver,HBO,HBO in association with Sixteen String Jack Productions and Avalon Television,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Jim Fenhagen, Production Designer",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Larry Hartman, Production Designer",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Brendan Hurley, Art Director",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Riley Mellon, Art Director",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","James Pearse Connelly, Production Designer",Nominee,The Masked Singer,FOX,FOX Alternative Entertainment,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Ryan Suchor, Art Director",Nominee,The Masked Singer,FOX,FOX Alternative Entertainment,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Lisa Nelson, Set Decorator",Nominee,The Masked Singer,FOX,FOX Alternative Entertainment,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","James McGowan, Production Designer",Nominee,RuPaul's Drag Race,VH1,World of Wonder,2021
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021","Gianna Costa, Art Director",Nominee,RuPaul's Drag Race,VH1,World of Wonder,2021
Outstanding Production Design For A Variety Special - 2021,"John Shaffner, Production Designer",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021
Outstanding Production Design For A Variety Special - 2021,"Greg Grande, Art Director",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021
Outstanding Production Design For A Variety Special - 2021,"Daren Janes, Art Director",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021
Outstanding Production Design For A Variety Special - 2021,"Brian Stonestreet, Production Designer",Nominee,78th Annual Golden Globe Awards,NBC,dick clark productions in association with the Hollywood Foreign Press Association,2021
Outstanding Production Design For A Variety Special - 2021,"John Zuiker, Senior Art Director",Nominee,78th Annual Golden Globe Awards,NBC,dick clark productions in association with the Hollywood Foreign Press Association,2021
Outstanding Production Design For A Variety Special - 2021,"Misty Buckley, Production Designer",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021
Outstanding Production Design For A Variety Special - 2021,"Kristen Merlino, Art Director",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021
Outstanding Production Design For A Variety Special - 2021,"Gloria Lamb, Art Director",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021
Outstanding Production Design For A Variety Special - 2021,"Matt Steinbrenner, Art Director",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021
Outstanding Production Design For A Variety Special - 2021,"Jim Fenhagen, Production Designer",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021
Outstanding Production Design For A Variety Special - 2021,"Larry Hartman, Production Designer",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021
Outstanding Production Design For A Variety Special - 2021,"Riley Mellon, Art Director",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021
Outstanding Production Design For A Variety Special - 2021,"Brendan Hurley, Art Director",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021
Outstanding Casting For A Comedy Series - 2021,"Kim Miscia, CSA, Casting by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021
Outstanding Casting For A Comedy Series - 2021,"Beth Bowling, CSA, Casting by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021
Outstanding Casting For A Comedy Series - 2021,"John Papsidera, CSA, Original Casting by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021
Outstanding Casting For A Comedy Series - 2021,"Jeanne McCarthy, CSA, Casting by",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Casting For A Comedy Series - 2021,"Nicole Abellera Hallman, CSA, Casting by",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Casting For A Comedy Series - 2021,"Nikki Valko, CSA, Casting by",Nominee,The Kominsky Method,Netflix,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Casting For A Comedy Series - 2021,"Ken Miller, CSA, Casting by",Nominee,The Kominsky Method,Netflix,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Casting For A Comedy Series - 2021,"Tara Treacy, CSA, Casting by",Nominee,The Kominsky Method,Netflix,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Casting For A Comedy Series - 2021,"Melissa DeLizia, CSA, Casting by",Nominee,PEN15,Hulu,"Hulu, Awesomeness TV, Odenkirk Provissiero, Lonely Island Classics",2021
Outstanding Casting For A Drama Series - 2021,"Kelly Valentine Hendry, CDG, CSA, Casting by",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Casting For A Drama Series - 2021,"Sharon Bialy, CSA, Casting by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Casting For A Drama Series - 2021,"Sherry Thomas, CSA, Casting by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Casting For A Drama Series - 2021,"Russell Scott, CSA, Casting by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Casting For A Drama Series - 2021,"Robin D. Cook, CSA, Location Casting",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Casting For A Drama Series - 2021,"Sarah Halley Finn, CSA, Casting by",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,"Julie Harkin, CDG, Casting by",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,"Francine Maisler, CSA, Casting by",Nominee,The Underground Railroad,Prime Video,"Plan B, PASTEL, Big Indie with Amazon Studios",2021
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,"Meagan Lewis, CSA, Location Casting",Nominee,The Underground Railroad,Prime Video,"Plan B, PASTEL, Big Indie with Amazon Studios",2021
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,"Sarah Halley Finn, CSA, Casting by",Nominee,WandaVision,Disney+,Marvel Studios,2021
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,"Jason B. Stamey, CSA, Casting by",Nominee,WandaVision,Disney+,Marvel Studios,2021
Outstanding Cinematography For A Multi-Camera Series - 2021,"Patti Lee, ASC, Director of Photography",Nominee,Call Me Kat,FOX,"That's Wonderful Productions, Sad Clown Productions and BBC Studios in association with Warner Bros. Television and FOX Entertainment",2021
Outstanding Cinematography For A Multi-Camera Series - 2021,"Donald A. Morgan, ASC, Director of Photography",Nominee,The Conners,ABC,Werner Entertainment,2021
Outstanding Cinematography For A Multi-Camera Series - 2021,"Donald A. Morgan, ASC, Director of Photography",Nominee,Last Man Standing,FOX,20th Television,2021
Outstanding Cinematography For A Multi-Camera Series - 2021,"Donald A. Morgan, ASC, Director of Photography",Nominee,The Upshaws,Netflix,Savannah Sweet Productions and Push It Productions for Netflix,2021
Outstanding Cinematography For A Single-Camera Series (One Hour) - 2021,"Jeffrey Jur, ASC, Director of Photography",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Cinematography For A Single-Camera Series (One Hour) - 2021,"Marcell Rév, Director of Photography",Nominee,Euphoria,HBO,"HBO in association with Reasonable Bunch, A24, Little Lamb, Dreamcrew, ADD Content Agency | HOT | Tedy Productions",2021
Outstanding Cinematography For A Single-Camera Series (One Hour) - 2021,"Tat Radcliffe, BSC, Director of Photography",Nominee,Lovecraft Country,HBO,"HBO in association with afemme, Monkeypaw, Bad Robot, and Warner Bros. Television",2021
Outstanding Cinematography For A Single-Camera Series (One Hour) - 2021,"Baz Idoine, Director of Photography",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Cinematography For A Single-Camera Series (One Hour) - 2021,"David Franco, Director of Photography",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021
Outstanding Cinematography For A Single-Camera Series (One Hour) - 2021,"Neville Kidd, ASC, Director of Photography",Nominee,The Umbrella Academy,Netflix,UCP for Netflix,2021
Outstanding Cinematography For A Limited Or Anthology Series Or Movie - 2021,"Dana Gonzales, ASC, Director of Photography",Nominee,Fargo,FX Networks,MGM Television and FX Productions,2021
Outstanding Cinematography For A Limited Or Anthology Series Or Movie - 2021,"Shabier Kirchner, Director of Photography",Nominee,Small Axe,Prime Video,"BBC Studios Americas, Inc. and Amazon Studios",2021
Outstanding Cinematography For A Limited Or Anthology Series Or Movie - 2021,"James Laxton, ASC, Director of Photography",Nominee,The Underground Railroad,Prime Video,"Plan B, PASTEL, Big Indie with Amazon Studios",2021
Outstanding Cinematography For A Nonfiction Program - 2021,"Jackson James, Cinematography by",Nominee,City So Real,National Geographic,National Geographic Documentary Films presents / Participant presents / A Kartemquin Films Production,2021
Outstanding Cinematography For A Nonfiction Program - 2021,"Steve James, Cinematography by",Nominee,City So Real,National Geographic,National Geographic Documentary Films presents / Participant presents / A Kartemquin Films Production,2021
Outstanding Cinematography For A Nonfiction Program - 2021,"Lincoln Else, Director of Photography",Nominee,Rebuilding Paradise,National Geographic,National Geographic Documentary Films Presents An Imagine Documentaries Production,2021
Outstanding Cinematography For A Nonfiction Program - 2021,"John Behrens, Cinematography by",Nominee,The Social Dilemma,Netflix,An Exposure Labs Production in association with Argent Pictures for Netflix,2021
Outstanding Cinematography For A Nonfiction Program - 2021,"Jonathan Pope, Cinematography by",Nominee,The Social Dilemma,Netflix,An Exposure Labs Production in association with Argent Pictures for Netflix,2021
Outstanding Period Costumes - 2021,"Jeriana San Juan, Costume Designer",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Period Costumes - 2021,"Catherine Crabtree, Assistant Costume Designer",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Period Costumes - 2021,"Cailey Breneman, Assistant Costume Designer",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Period Costumes - 2021,"Anne Newton-Harding, Costume Supervisor",Nominee,Halston,Netflix,A Netflix Original Series,2021
Outstanding Contemporary Costumes - 2021,"Michelle R. Cole, Costume Designer",Nominee,black-ish,ABC,ABC Signature,2021
Outstanding Contemporary Costumes - 2021,"Juliann M. Smith DeVito, Costume Supervisor",Nominee,black-ish,ABC,ABC Signature,2021
Outstanding Contemporary Costumes - 2021,"Heidi Bivens, Costume Designer",Nominee,Euphoria,HBO,"HBO in association with Reasonable Bunch, A24, Little Lamb, Dreamcrew, ADD Content Agency | HOT | Tedy Productions",2021
Outstanding Contemporary Costumes - 2021,"Devon Patterson, Costume Supervisor",Nominee,Euphoria,HBO,"HBO in association with Reasonable Bunch, A24, Little Lamb, Dreamcrew, ADD Content Agency | HOT | Tedy Productions",2021
Outstanding Contemporary Costumes - 2021,"Angelina Vitto, Assistant Costume Designer",Nominee,Euphoria,HBO,"HBO in association with Reasonable Bunch, A24, Little Lamb, Dreamcrew, ADD Content Agency | HOT | Tedy Productions",2021
Outstanding Contemporary Costumes - 2021,"Kathleen Felix-Hager, Costume Designer",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Contemporary Costumes - 2021,"Karen Bellamy, Costume Supervisor",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021
Outstanding Contemporary Costumes - 2021,"Lynsey Moore, Costume Designer",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Contemporary Costumes - 2021,"Rosie Lack, Assistant Costume Designer",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Contemporary Costumes - 2021,"Debbie Roberts, Costume Supervisor",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Directing For A Comedy Series - 2021,"James Burrows, Directed by",Nominee,B Positive,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Directing For A Comedy Series - 2021,"Susanna Fogel, Directed by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021
Outstanding Directing For A Comedy Series - 2021,"James Widdoes, Directed by",Nominee,Mom,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021
Outstanding Directing For A Comedy Series - 2021,"Zach Braff, Directed by",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021
Outstanding Directing For A Comedy Series - 2021,"MJ Delaney, Directed by",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021
Outstanding Directing For A Comedy Series - 2021,"Declan Lowney, Directed by",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021
Outstanding Directing For A Drama Series - 2021,"Julie Anne Robinson, Directed by",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021
Outstanding Directing For A Drama Series - 2021,"Benjamin Caron, Directed by",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
Outstanding Directing For A Drama Series - 2021,"Liz Garbus, Directed by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021
Outstanding Directing For A Drama Series - 2021,"Jon Favreau, Directed by",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021
Outstanding Directing For A Limited Or Anthology Series Or Movie - 2021,"Thomas Kail, Directed by",Nominee,Hamilton,Disney+,"Lin-Manuel Miranda and Nevis Productions LLC, Old 320 Sycamore, and RadicalMedia",2021
Outstanding Directing For A Limited Or Anthology Series Or Movie - 2021,"Sam Miller, Directed by",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Directing For A Limited Or Anthology Series Or Movie - 2021,"Michaela Coel, Directed by",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Directing For A Limited Or Anthology Series Or Movie - 2021,"Sam Miller, Directed by",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021
Outstanding Directing For A Limited Or Anthology Series Or Movie - 2021,"Barry Jenkins, Directed by",Nominee,The Underground Railroad,Prime Video,"Plan B, PASTEL, Big Indie with Amazon Studios",2021
Outstanding Directing For A Limited Or Anthology Series Or Movie - 2021,"Matt Shakman, Directed by",Nominee,WandaVision,Disney+,Marvel Studios,2021
Outstanding Directing For A Variety Series - 2021,"Christopher Werner, Directed by",Nominee,Last Week Tonight With John Oliver,HBO,HBO in association with Sixteen String Jack Productions and Avalon Television,2021
Outstanding Directing For A Variety Series - 2021,"Alexander J. Vietmeier, Directed by",Nominee,Late Night With Seth Meyers,NBC,Universal Television and Broadway Video,2021
Outstanding Directing For A Variety Series - 2021,"Jim Hoskinson, Directed by",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021
Outstanding Directing For A Variety Series - 2021,"Paul G. Casey, Directed by",Nominee,Real Time With Bill Maher,HBO,HBO in association with Bill Maher Productions and Brad Grey Television,2021
Outstanding Directing For A Variety Special - 2021,"Spike Lee, Directed by",Nominee,David Byrne's American Utopia,HBO,"HBO in association with RadicalMedia, 40 Acres And A Mule",2021
Outstanding Directing For A Variety Special - 2021,"Julia Reichert, Directed by",Nominee,8:46 - Dave Chappelle,Netflix,Pilot Boy Productions,2021
Outstanding Directing For A Variety Special - 2021,"Steven Bognar, Directed by",Nominee,8:46 - Dave Chappelle,Netflix,Pilot Boy Productions,2021
Outstanding Directing For A Variety Special - 2021,"Dave Chappelle, Directed by",Nominee,8:46 - Dave Chappelle,Netflix,Pilot Boy Productions,2021
Outstanding Directing For A Variety Special - 2021,"Ben Winston, Directed by",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021
Outstanding Directing For A Variety Special - 2021,"Thomas Schlamme, Directed by",Nominee,A West Wing Special To Benefit When We All Vote,HBO Max,"HBO Max and Warner Bros. Unscripted Television in association with Casey Patterson Entertainment, Shoe Money Productions and Warner Horizon",2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Kirby Dick, Directed by",Nominee,Allen v. Farrow,HBO,"HBO Documentary Films presents in association with Impact Partners and Chicago Media Project, a Jane Doe Films Production",2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Amy Ziering, Directed by",Nominee,Allen v. Farrow,HBO,"HBO Documentary Films presents in association with Impact Partners and Chicago Media Project, a Jane Doe Films Production",2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Frank Marshall, Directed by",Nominee,The Bee Gees: How Can You Mend A Broken Heart,HBO,HBO Documentary Films And Polygram Entertainment Present A Kennedy/Marshall Production and a White Horse Pictures Production in association with Diamond Docs,2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Amanda McBaine, Directed by",Nominee,Boys State,Apple TV+,Apple / A24 / Concordia Studio / Mile End Films,2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Jesse Moss, Directed by",Nominee,Boys State,Apple TV+,Apple / A24 / Concordia Studio / Mile End Films,2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Jeff Orlowski, Directed by",Nominee,The Social Dilemma,Netflix,An Exposure Labs Production in association with Argent Pictures for Netflix,2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"Dan Lindsay, Directed by",Nominee,Tina,HBO,HBO Documentary Films presents a Lightbox Production,2021
Outstanding Directing For A Documentary/Nonfiction Program - 2021,"TJ Martin, Directed by",Nominee,Tina,HBO,HBO Documentary Films presents a Lightbox Production,2021
Outstanding Single-Camera Picture Editing For A Drama Series - 2021,"Paulo Pandolpho, Editor",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021
